Mã ĐTN,Giới tính,10.Điểm tổng kết HK I,10.Điểm tổng kết HK II,10.Điểm tổng kết CN,10.Học lực HK I,10.Học lực HK II,10.Học lực CN,10.Hạnh kiểm HK I,10.Hạnh kiểm HK II,10.Hạnh kiểm CN,10.Toán HK I,10.Toán HK II,10.Toán CN,10.Văn HK I,10.Văn HK II,10.Văn CN,10.Vật lí HK I,10.Vật lí HK II,10.Vật lí CN,10.Hóa học HK I,10.Hóa học HK II,10.Hóa học CN,10.Sinh học HK I,10.Sinh học HK II,10.Sinh học CN,10.Lịch sử HK I,10.Lịch sử HK II,10.Lịch sử CN,10.Địa lí HK I,10.Địa lí HK II,10.Địa lí CN,10.GDCD HK I,10.GDCD HK II,10.GDCD CN,10.Ngoại ngữ HK I,10.Ngoại ngữ HK II,10.Ngoại ngữ CN,10.Môn ngoại ngữ,11.Điểm tổng kết HK I,11.Điểm tổng kết HK II,11.Điểm tổng kết CN,11.Học lực HK I,11.Học lực HK II,11.Học lực CN,11.Hạnh kiểm HK I,11.Hạnh kiểm HK II,11.Hạnh kiểm CN,11.Toán HK I,11.Toán HK II,11.Toán CN,11.Văn HK I,11.Văn HK II,11.Văn CN,11.Vật lí HK I,11.Vật lí HK II,11.Vật lí CN,11.Hóa học HK I,11.Hóa học HK II,11.Hóa học CN,11.Sinh học HK I,11.Sinh học HK II,11.Sinh học CN,11.Lịch sử HK I,11.Lịch sử HK II,11.Lịch sử CN,11.Địa lí HK I,11.Địa lí HK II,11.Địa lí CN,11.GDCD HK I,11.GDCD HK II,11.GDCD CN,11.Ngoại ngữ HK I,11.Ngoại ngữ HK II,11.Ngoại ngữ CN,11.Môn ngoại ngữ,12.Điểm tổng kết HK I,12.Điểm tổng kết HK II,12.Điểm tổng kết CN,12.Học lực HK I,12.Học lực HK II,12.Học lực CN,12.Hạnh kiểm HK I,12.Hạnh kiểm HK II,12.Hạnh kiểm CN,12.Toán HK I,12.Toán HK II,12.Toán CN,12.Văn HK I,12.Văn HK II,12.Văn CN,12.Vật lí HK I,12.Vật lí HK II,12.Vật lí CN,12.Hóa học HK I,12.Hóa học HK II,12.Hóa học CN,12.Sinh học HK I,12.Sinh học HK II,12.Sinh học CN,12.Lịch sử HK I,12.Lịch sử HK II,12.Lịch sử CN,12.Địa lí HK I,12.Địa lí HK II,12.Địa lí CN,12.GDCD HK I,12.GDCD HK II,12.GDCD CN,12.Ngoại ngữ HK I,12.Ngoại ngữ HK II,12.Ngoại ngữ CN,d1,d2,d3,diem
52,Nam,7.4,7.8,7.6,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.7,8.3,8.4,6.7,7.5,7.2,8.4,9.3,9,8.1,8.3,8.2,6.1,6.8,6.6,7.3,7.4,7.4,6.3,7.5,7.1,7.7,7.8,7.8,6.6,7.4,7.1,N1,7.6,7.8,7.7,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.6,8.9,8.8,6.9,6.7,6.8,9.1,9.4,9.3,8.7,8.7,8.7,7.3,7.8,7.6,6.3,6.7,6.6,6.8,7,6.9,7.1,7.5,7.4,7.1,7,7,N1,8.1,8,8.1,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.2,9.8,9.6,7.2,7.3,7.3,9.3,9,9.1,9,8.7,8.8,7.5,7.8,7.7,7.3,7.9,7.7,8,7.7,7.8,7.3,7.3,7.3,7.8,7.7,7.7,25,37,25,87
88,Nam,7.6,7.6,7.6,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.7,8.3,8.4,5.6,5.9,5.8,9.3,9.2,9.2,9.5,9.7,9.6,7.8,7.8,7.8,7.7,7.8,7.8,6.8,6.3,6.5,6.6,6.9,6.8,6,6.4,6.3,N1,7.6,8.1,7.9,Khá,Giỏi,Khá,Tốt,Tốt,Tốt,8.7,8.7,8.7,6,7.8,7.2,8.8,8.5,8.6,9.9,9.4,9.6,7.8,8.3,8.1,7.4,8,7.8,6.1,7.5,7,6.9,8.2,7.8,6.2,7.4,7,N1,8.1,8.4,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,7.9,9.2,8.8,7,7.2,7.1,8.4,8.8,8.7,9.6,9.8,9.7,7.1,7.7,7.5,7.7,8.3,8.1,7.6,8,7.9,8,8.4,8.3,8.6,8.6,8.6,24,28,28,80
14,Nam,7.4,8.2,7.9,Khá,Giỏi,Khá,Tốt,Tốt,Tốt,7.7,8.2,8,6.8,7.2,7.1,7.3,7.2,7.2,8.1,8.3,8.2,6.4,8.7,7.9,6.8,7.6,7.3,7.1,7.4,7.3,7.8,9.4,8.9,6.9,7.5,7.3,N1,8.2,8.1,8.2,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.5,8.3,8.4,6.8,7.2,7.1,9.2,6.5,7.4,7.1,8.8,8.2,8.3,7.6,7.8,7.9,8.2,8.1,8.3,7.7,7.9,8.3,8.5,8.4,8.2,8.3,8.3,N1,8.4,8.4,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.7,8.7,8.7,7.5,7.6,7.6,8,8.1,8.1,7.8,7.8,7.8,7.2,8.5,8.1,8.9,8,8.3,9.1,9.2,9.2,9.3,9.3,9.3,8.3,8.4,8.4,23,28,28,79
14,Nam,8.3,8.9,8.7,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.7,9.6,9.3,7.3,7.3,7.3,9.2,9.1,9.1,8.9,8.6,8.7,7.8,9.4,8.9,7.7,8.9,8.5,7.6,8.3,8.1,9,9.5,9.3,7.4,8.3,8,N1,8.6,8.6,8.6,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.5,9.4,9.4,7.8,7.2,7.4,9.4,9.4,9.4,8.4,9.5,9.1,8.8,7.8,8.1,8,9.2,8.8,8.2,8,8.1,8.6,8.3,8.4,7.6,8.5,8.2,N1,9,8.8,8.9,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.5,9.6,9.6,8.1,7.5,7.7,9.8,9.7,9.7,9.4,9.5,9.5,7.9,8.1,8,9.3,9,9.1,8.9,9.2,9.1,9.7,9.3,9.4,8.3,7.7,7.9,44,25,29,98
13,Nam,8.1,8.2,8.2,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.4,8.7,8.6,7.5,7.3,7.4,8,7.1,7.4,7.1,8.2,7.8,8.8,8.6,8.7,8.2,7.7,7.9,8.2,8.3,8.3,8.2,8.6,8.5,8.7,8.6,8.6,N1,8.7,8.8,8.8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.5,8.7,9,7.1,7.2,7.2,9.4,9.2,9.3,8.7,8.7,8.7,8.9,9.1,9,9,8.8,8.9,8.3,9.2,8.9,8,8.4,8.3,8.6,9.1,8.9,N1,9.3,9.4,9.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.4,9.8,9.7,8.2,8.4,8.3,9.6,9.7,9.7,8.8,9.3,9.1,9.6,9.9,9.8,9.3,9.3,9.3,9,8.9,8.9,9.3,9.4,9.4,9.9,9.3,9.5,26,31,18,75
14,Nam,8.1,8.4,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.7,9.1,9,7.1,7.4,7.3,8.3,8.8,8.6,8.4,8.4,8.4,7.6,8.8,8.4,8.2,7.7,7.9,8.4,7.7,7.9,8,9,8.7,7.9,7.8,7.8,N1,8.5,8.5,8.5,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.2,9.1,9.1,7.8,7.7,7.7,9.1,8.1,8.4,7.8,8.2,8.1,8.7,7.9,8.2,8,9.5,9,8.3,8.4,8.4,8.2,8.2,8.2,8.8,9.3,9.1,N1,8.9,8.9,8.9,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.4,9.8,9.7,7.8,7.7,7.7,8.5,9.4,9.1,8.8,9.5,9.3,8.3,9.6,9.2,8.6,8.1,8.3,8.9,8.7,8.8,9.4,9.3,9.3,9.1,8.7,8.8,32,34,19,85
32,Nam,7.9,8.1,8,Khá,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.1,8.6,8.4,6.8,6.5,6.6,8.7,9.1,9,7.9,7.5,7.6,8.3,8.4,8.4,7.3,7.8,7.6,8.3,8.4,8.4,8.5,8.6,8.6,7.2,8.6,8.1,N1,8.3,8,8.1,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.8,8.8,8.8,6.9,7.2,7.1,9.1,8,8.4,8.6,8,8.2,8.4,7.7,7.9,8.5,8.6,8.6,7.6,8.5,8.2,8.7,8.6,8.6,7.7,6.5,6.9,N1,8.5,8.2,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.3,9.5,9.4,7.1,7.1,7.1,9.3,8.8,9,9.1,8.3,8.6,8.4,7.7,7.9,7.4,7.1,7.2,8.3,8.4,8.4,9.5,8.2,8.6,8.7,7.3,7.8,28,33,23,84
32,Nam,8.1,8,8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.9,8.1,8.4,6.7,6.8,6.8,9.1,9.6,9.4,8.9,7.2,7.8,6.7,8,7.6,8.3,8.1,8.2,8.3,8.4,8.4,8.3,8.8,8.6,7.3,6.9,7,N1,8.1,8.4,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.1,9.3,8.9,7.3,7.1,7.2,8.7,8.7,8.7,8.3,8.4,8.4,7.6,8.1,7.9,8,9.1,8.7,8.5,8.8,8.7,8.3,8.5,8.4,7.5,7,7.2,N1,8.3,8,8.1,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.5,9.3,9,7.1,7.3,7.2,8.5,8.6,8.6,8.9,7.9,8.2,8.5,7.5,7.8,8.6,7.1,7.6,8.1,8.7,8.5,8.8,8.7,8.7,7.6,8.1,7.9,31,32,28,91
32,Nam,6.9,7.1,7,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.2,8.1,8.1,5.7,5.7,5.7,7.4,8,7.8,8.2,7.2,7.5,5.4,7.2,6.6,7.1,5.3,5.9,6.1,7.5,7,7.3,7.6,7.5,6.1,6.3,6.2,N1,7.3,8,7.8,Khá,Giỏi,Khá,Tốt,Tốt,Tốt,8.2,8.8,8.6,6.9,7.2,7.1,8,7.6,7.7,8.8,8.9,8.9,6.6,7.6,7.3,7.9,8.6,8.4,8.1,8.1,8.1,7.4,7.8,7.7,5.4,7.6,6.9,N1,8,7.9,7.9,Giỏi,Khá,Khá,Tốt,Tốt,Tốt,9.1,8.3,8.6,6.8,7.1,7,8.7,8.2,8.4,8.9,8.3,8.5,8,7.1,7.4,7.6,6.6,6.9,6.9,7.6,7.4,8,7.4,7.6,6.7,7.9,7.5,20,20,26,66
13,Nam,8.8,8.8,8.8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.2,9,9.1,7.8,7.8,7.8,9.2,9.2,9.2,9.2,9.3,9.3,8.9,8.6,8.7,8.5,8.3,8.4,8.8,9,8.9,8.9,8.6,8.7,9.1,9.3,9.2,N1,9.3,9.3,9.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.7,10,9.9,8,7.9,7.9,10,9.9,9.9,9.8,9.9,9.9,8.9,9.4,9.2,9.6,9.1,9.3,8.9,9.3,9.2,9.1,9,9,9.3,9.4,9.4,N1,9.5,9.5,9.5,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.8,9.9,9.9,8.7,8.9,8.8,9.7,9.8,9.8,10,9.7,9.8,9.6,9.7,9.7,9.9,8.8,9.2,8.9,9.1,9,8.8,9.8,9.5,9.8,9.4,9.5,35,27,32,94
13,Nam,8.5,8.7,8.6,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.2,9.7,9.5,7.3,8.1,7.8,9.6,9.7,9.7,9.1,8.8,8.9,8.4,7.5,7.8,8.3,8.2,8.2,8.2,7.6,7.8,8.4,9,8.8,8.2,8.5,8.4,N1,9,9.1,9.1,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.7,9.8,9.8,8.2,8.1,8.1,9.8,8.8,9.1,9,9.7,9.5,9.4,8.6,8.9,8.9,9.1,9,8.6,9.1,8.9,8.5,8.7,8.6,9.4,8.8,9,N1,9.2,9.3,9.2,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.9,9.9,9.9,8.4,8.2,8.3,9.8,9.7,9.7,9.4,9.6,9.5,9.1,9.1,9.1,8.9,8.7,8.8,8.5,9.2,9,9.5,9.7,9.6,9.2,9.1,9.1,38,31,23,92
14,Nam,8,8.6,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.8,9.2,9.1,7.3,7.8,7.6,9,9.1,9.1,8.7,8.6,8.6,6.6,9.2,8.3,7.2,8.1,7.8,7.2,8.1,7.8,7.9,9.1,8.7,7.6,7.9,7.8,N1,8.7,8.6,8.7,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.8,9.4,9.2,8.2,7.4,7.7,9.1,7.3,7.9,9.6,8.6,8.9,9.1,8.5,8.7,7.9,9.4,8.9,8.2,8,8.1,9,9,9,8.8,8.7,8.7,N1,8.7,8.8,8.8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9,9.8,9.5,8.1,7.7,7.8,8.5,9.1,8.9,8.1,9.3,8.9,7.6,9,8.5,8.9,7.7,8.1,8.9,8.9,8.9,9.6,9.4,9.5,7.9,8.7,8.4,37,40,24,101
14,Nam,7.7,8.6,8.3,Khá,Giỏi,Giỏi,Tốt,Tốt,Tốt,7.8,8.9,8.5,6.4,7.1,6.9,8.5,7.8,8,8.7,8.9,8.8,8.1,9.3,8.9,6.7,8.2,7.7,7.5,8.5,8.2,8.4,9.6,9.2,7,8.2,7.8,N1,8.5,8.5,8.5,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.4,8.4,8.4,7.3,7.3,7.3,8,7.8,7.9,9.4,8.8,9,9.4,9.3,9.3,8.9,8.2,8.4,8.3,7.9,8,9.3,9.2,9.2,7.9,8.2,8.1,N1,8.8,9,8.9,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.6,9,8.9,7.9,7.6,7.7,8.1,9.2,8.8,8.8,9.5,9.3,8.2,8.8,8.6,9,9.1,9.1,9.1,9.4,9.3,9.4,9.6,9.5,8.5,8.9,8.8,18,24,17,59
38,Nam,7.7,8.2,8,Khá,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.4,8.9,8.7,7,7.3,7.2,8.1,7.8,7.9,7.4,8.2,7.9,7.3,8.1,7.8,6.9,8.1,7.7,6.6,7.9,7.5,7.5,8.3,8,8.8,9.4,9.2,N1,8.3,8.4,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.9,9.2,9.1,6.8,7,6.9,8.1,8.4,8.3,8.3,8.8,8.6,8.9,8,8.3,7.9,7.9,7.9,8.2,8.5,8.4,8.4,8.3,8.3,8.8,9.2,9.1,N1,8.7,8.6,8.7,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.6,9.9,9.8,7.2,7.2,7.2,8.7,9.3,9.1,9.1,8.9,9,8.6,8.3,8.4,8.5,8.9,8.8,8.8,9.1,9,8.1,7.9,8,9.5,9.3,9.4,30,28,22,80
30,Nam,7.5,8,7.8,Khá,Giỏi,Khá,Khá,Tốt,Tốt,8.5,8.5,8.5,7.4,7.5,7.5,8.2,8.2,8.2,7.3,8.3,8,7,7.6,7.4,7.3,7.7,7.6,7.4,7.4,7.4,6.2,7.8,7.3,8,8.3,8.2,,7.9,8.1,8,Khá,Giỏi,Giỏi,Khá,Tốt,Tốt,9.1,9,9,8.4,8.2,8.3,8.7,8,8.2,7.4,8.5,8.1,7.2,7.9,7.7,7.6,9,8.5,8.4,8,8.1,6.9,7.9,7.6,7.8,7.4,7.5,N1,8.4,8.5,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9,9.8,9.5,8.4,8.1,8.2,9.2,9.2,9.2,9.8,9.4,9.5,8.5,7.4,7.8,8,8.7,8.5,7.9,8.1,8,7.7,8.5,8.2,8.6,7.7,8,34,38,29,101
36,Nam,7.9,7.9,7.9,Khá,Khá,Khá,Tốt,Tốt,Tốt,9,9,9,6.8,7.4,7.2,8.8,8.5,8.6,8.8,9.2,9.1,7.5,7.7,7.6,7,7.8,7.5,7.7,7.3,7.4,7.1,7.3,7.2,6.9,7.5,7.3,N1,8,8.1,8.1,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.3,8.9,8.7,7.7,7.1,7.3,8.5,8.7,8.6,9,9,9,7.9,8.1,8,8.5,8.8,8.7,7.8,8.1,8,7.3,8.2,7.9,7.4,7.1,7.2,N1,8.6,8.5,8.6,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.1,9.6,9.4,8.3,7.4,7.7,9.4,8.7,8.9,8.8,9.1,9,8.6,8.4,8.5,8.3,7.7,7.9,8.7,8.3,8.4,8.3,8.8,8.6,8.3,8.1,8.2,30,25,30,85
18,Nam,7.4,7.8,7.6,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.1,9.3,8.9,6.5,7.5,7.2,7.7,8.4,8.2,8.2,8.9,8.7,6,7.7,7.1,6.2,6.7,6.5,7.6,7.1,7.3,6.5,7.8,7.4,7.3,7.1,7.2,N1,7.7,8.5,8.2,Khá,Giỏi,Giỏi,Tốt,Tốt,Tốt,9,9.5,9.3,7.9,7.8,7.8,9.7,9.6,9.6,8.5,9.5,9.2,7.6,8.8,8.4,6.4,7.9,7.4,7.1,7.6,7.4,6.9,8.4,7.9,7.6,9.1,8.6,N1,8.8,9,8.9,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.4,9.6,9.5,8.1,7.8,7.9,9.6,9.5,9.5,9.6,9.2,9.3,9,9,9,8.1,8.9,8.6,9,8.4,8.6,8.8,8.4,8.5,8.9,8.8,8.8,31,25,23,79
22,Nam,8.3,8.3,8.3,Giỏi,Khá,Khá,Tốt,Tốt,Tốt,8.1,7.5,7.7,7.3,7.4,7.4,9.5,8.5,8.8,7.8,8.2,8.1,8.3,8.2,8.2,8.5,8.7,8.6,7.4,7.7,7.6,9,9.3,9.2,8.5,8.3,8.4,N1,8,8.3,8.2,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,7.8,8.5,8.3,7.1,7.6,7.4,8.1,8.5,8.4,7,7.6,7.4,7,8.1,7.7,8.3,8.9,8.7,7.9,7.5,7.6,8.6,8.6,8.6,8.7,8.8,8.8,N1,8.3,8.1,8.2,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.8,9.3,9.1,7.3,7.9,7.7,8.7,8.1,8.3,7.4,8.4,8.1,7.9,8,8,8.9,7.7,8.1,9.1,7.8,8.2,8.3,7.8,8,9.2,8.7,8.9,27,30,22,79
22,Nam,8.7,8.8,8.8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9,9.3,9.2,7.9,7.6,7.7,9.6,9.8,9.7,9.6,9.4,9.5,8.7,9.5,9.2,8.4,9.1,8.9,8.9,8.6,8.7,7.9,8.6,8.4,8.5,8.5,8.5,N1,8.7,8.9,8.8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.1,9.4,9.3,7.5,7.8,7.7,9.6,9.3,9.4,9.6,9.7,9.7,8.8,9.5,9.3,8.5,9.1,8.9,8.9,8.5,8.6,8.6,8.7,8.7,8.6,8.4,8.5,N1,8.9,8.8,8.9,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.6,9.6,9.6,8,7.8,7.9,9.6,8.9,9.1,9.5,9.6,9.6,9.5,9.6,9.6,9.2,7.8,8.3,9.3,9.6,9.5,8.1,8.2,8.2,9.2,8.9,9,38,32,27,97
14,Nam,7.9,8.4,8.2,Khá,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.3,9.2,9.2,7.6,7.9,7.8,8.3,8.8,8.6,7.6,6.8,7.1,7.2,8.3,7.9,7.1,7.8,7.6,7.6,8.5,8.2,8.3,8.6,8.5,7.4,8.1,7.9,N1,8.5,8.2,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.3,9,9.1,7.8,8.3,8.1,8.7,7.2,7.7,7.6,8.2,8,8.8,7.6,8,8.9,8,8.3,8.3,8.6,8.5,8.7,8.7,8.7,8.5,8.1,8.2,N1,8.5,8.6,8.5,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.4,9.3,9.3,8.4,8.6,8.5,8.7,8.6,8.6,7.6,8.2,8,8.2,8.7,8.5,8.6,7.5,7.9,8.5,8.1,8.2,8.2,9.2,8.9,8.8,9.2,9.1,25,31,21,77
14,Nam,7.5,8.3,8.1,Khá,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.2,8.7,8.5,7.5,7.4,7.4,7.3,7.8,7.6,7.3,7.1,7.2,6.1,8.2,7.5,6.7,8,7.6,8.3,8.5,8.4,7.6,8.9,8.5,8.6,8.8,8.7,N1,8.4,8.2,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.4,8.9,8.7,8.3,8.3,8.3,8.6,7.6,7.9,7.9,7.6,7.7,8.1,8.2,8.2,8.4,8.1,8.2,7.4,8.1,7.9,7.9,8.4,8.2,8.9,8.7,8.8,N1,8.7,8.5,8.6,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.1,8.4,8.6,8.1,8.8,8.6,8.8,7.9,8.2,8.7,8.4,8.5,9.2,9.4,9.3,8.9,9.2,9.1,8.6,6.9,7.5,9,8.4,8.6,8.8,9.4,9.2,27,35,16,78
13,Nam,8,8.2,8.1,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9,9.3,9.2,7,7.3,7.2,8.7,8.3,8.4,6.6,8.1,7.6,8.5,7.3,7.7,8.1,7.5,7.7,8.3,8.3,8.3,7.4,8.4,8.1,8.6,8.9,8.8,N1,8.9,8.9,8.9,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.5,9.6,9.6,7.4,7.1,7.2,9.5,9.1,9.2,8.4,8.6,8.5,8.9,9,9,8.8,8.9,8.9,8.7,9.2,9,8.5,8.1,8.2,9.6,9.3,9.4,N1,9.4,9.4,9.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.8,9.6,9.7,8.5,8.6,8.6,9.7,9.7,9.7,9.3,9.7,9.6,9.7,9.9,9.8,9.4,8.9,9.1,8.9,9,9,8.9,9.1,9,9.9,9.6,9.7,31,34,23,88
14,Nam,7.5,8.1,7.9,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.4,8,8.1,6.9,7.1,7,9,8.2,8.5,8.4,8.3,8.3,6.5,8.4,7.8,7.3,8.3,8,7.6,7.7,7.7,7.2,8.2,7.9,5.9,6.1,6,N1,8.6,8.5,8.5,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.1,8.8,8.9,7.3,7.8,7.6,9.6,9,9.2,8.3,8.5,8.4,8.6,8.3,8.4,8.4,8.2,8.3,9,9,9,8.9,9.4,9.2,8.4,7.7,7.9,N1,8.2,8.3,8.3,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.7,8.3,8.4,7.7,7.5,7.6,7.7,8.6,8.3,8.3,7.7,7.9,7,8.5,8,8.9,7.9,8.2,7.5,9.3,8.7,8.9,9.3,9.2,7.9,8,8,31,30,19,80
14,Nam,8.1,8.5,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9,8.6,8.7,7.8,7.3,7.5,8.3,8.4,8.4,8.8,8.4,8.5,7.6,9.1,8.6,6.7,7.7,7.4,8.2,8.4,8.3,8.8,9.4,9.2,7.9,8.5,8.3,N1,8.5,8.3,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.2,8.7,8.9,8.1,7.3,7.6,8.1,8.1,8.1,8.5,8.7,8.6,8.9,7.8,8.2,7.9,8.1,8,7.8,8.4,8.2,8.7,8.5,8.6,8.4,8.9,8.7,N1,8.8,8.6,8.7,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.3,9.1,8.8,7.7,7.2,7.4,8.8,9,8.9,8.5,9.5,9.2,9,8.9,8.9,8.4,7.3,7.7,8.8,8.8,8.8,9,8.8,8.9,8.8,8.7,8.7,33,29,20,82
14,Nam,7.3,7.9,7.7,Khá,Khá,Khá,Tốt,Tốt,Tốt,8.6,8.8,8.7,7.7,7,7.2,7,6.8,6.9,7.1,6.6,6.8,6.4,8.3,7.7,6,6.1,6.1,7.4,8.3,8,7.9,9.3,8.8,7.5,7.7,7.6,N1,8.5,8,8.1,Giỏi,Khá,Giỏi,Tốt,Tốt,Tốt,8.1,8.2,8.2,8.2,7.9,8,8.9,6.4,7.2,8.1,7.4,7.6,9.2,7.9,8.3,8.2,7.8,7.9,8.2,7.8,7.9,8.3,8.2,8.2,8.2,8.5,8.4,N1,8.3,8.5,8.5,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,7.4,8.5,8.1,8.5,8.2,8.3,8.2,9.2,8.9,7.8,8.7,8.4,8.7,9.1,9,8.1,8.7,8.5,8.4,8.5,8.5,7.5,8.6,8.2,8.5,9.1,8.9,19,22,17,58
14,Nam,7.1,8.3,8,Khá,Giỏi,Khá,Tốt,Tốt,Tốt,8.6,8.9,8.8,6.8,7.3,7.1,8.7,8.1,8.3,7.3,8.3,8,7.2,9.1,8.5,6.3,7.6,7.2,6.6,8,7.5,6.4,9.7,8.6,5.3,6.8,6.3,N1,8.4,8.5,8.4,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.8,9.1,9,7.8,8,7.9,9.4,7.8,8.3,8.7,8.9,8.8,8.9,8.3,8.5,8.8,9.1,9,8.4,8.3,8.3,7.9,9,8.6,7.5,8.2,8,N1,8.7,8.5,8.6,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,8.8,9.3,9.1,8.3,7.7,7.9,8.4,9.2,8.9,9.2,8.1,8.5,8.2,8.7,8.5,9.3,7.8,8.3,8.4,9.1,8.9,9.1,8.7,8.8,9,8.3,8.5,31,37,21,89
14,Nam,8.4,8.8,8.7,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.3,9.3,9.3,6.6,6.6,6.6,9.6,9.1,9.3,8.5,9,8.8,7.3,9.6,8.8,8,8.6,8.4,8,8.4,8.3,9.1,9.7,9.5,8.9,8.2,8.4,N1,8.8,8.7,8.7,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.7,9.3,9.4,7.8,7.7,7.7,9.4,9.1,9.2,8.1,8.7,8.5,9.3,7.5,8.1,8.8,8.1,8.3,7.8,8.6,8.3,8.6,8.9,8.8,9.4,9.2,9.3,N1,8.9,8.8,8.8,Giỏi,Giỏi,Giỏi,Tốt,Tốt,Tốt,9.6,9.5,9.5,8.2,8,8.1,9,9.3,9.2,8.1,7.7,7.8,8.7,9.4,9.2,8.6,7.9,8.1,8.6,9,8.9,9.7,9.1,9.3,9.3,9.5,9.4,33,39,22,94
